LotArea,LotFrontage,LotShape,LotConfig,LandContour,LandSlope,Neighborhood,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtCond,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,KitchenQual,Fireplaces,FireplaceQu,GarageArea,GarageQual,GarageCond,WoodDeckSF,PoolArea,YrSold,SalePrice,AgeSinceRemod/Add,TotRms,PorchArea,LocationRank,OverallQualCond,ExterQualCond,BsmtQualCond,GarageQualCond
8688,73,Reg,Inside,Lvl,Gtl,Somerst,7,5,4,3,4,3,1616,5,1,1616,4,0,0,834,3,3,208,0,2006,232000,1,6,59,4,35,12,12,9
6291,69,IR1,Inside,Lvl,Gtl,IDOTRR,6,6,4,4,3,3,768,3,1,768,3,0,0,440,3,3,0,0,2008,93850,58,3,84,1,36,16,9,9
17529,69,Reg,Inside,Lvl,Gtl,Sawyer,5,5,3,3,3,3,872,2,0,872,2,1,4,322,2,2,0,0,2006,105000,56,4,116,1,25,9,9,4
6324,60,IR1,Inside,Lvl,Gtl,BrkSide,4,6,3,3,3,3,520,2,0,520,2,0,0,240,2,3,49,0,2008,68500,58,3,87,2,24,9,9,6
11600,80,Reg,Corner,Lvl,Gtl,NAmes,5,5,3,3,3,3,1105,3,1,2274,3,0,0,480,3,3,0,0,2010,154300,50,9,0,2,25,9,9,9
7288,50,Reg,Inside,Lvl,Gtl,IDOTRR,5,7,4,4,3,1,936,5,1,1601,3,0,0,0,0,0,0,0,2007,129850,4,6,176,1,35,16,3,0
4571,35,Reg,Inside,Lvl,Gtl,OldTown,5,7,3,3,3,3,616,5,1,1232,3,0,0,480,2,2,280,0,2007,114000,57,5,143,2,35,9,9,4
17423,63,IR1,CulDSac,Lvl,Gtl,StoneBr,9,5,5,3,5,3,2216,5,1,2234,5,1,4,1166,3,3,0,0,2009,501837,0,5,60,4,45,15,15,9
12665,100,IR1,Inside,Lvl,Gtl,OldTown,5,8,3,3,3,3,876,4,1,1416,3,1,4,720,3,3,418,0,2008,153900,58,7,194,2,40,9,9,9
9000,60,Reg,FR2,Lvl,Gtl,NAmes,4,7,3,4,3,3,864,4,1,864,3,0,0,576,3,3,200,0,2009,130000,3,5,0,2,28,12,9,9
4500,32,Reg,FR2,Lvl,Gtl,Mitchel,6,5,3,3,5,3,1189,5,1,1189,3,0,0,392,3,3,0,0,2008,160500,11,6,122,2,30,9,15,9
6373,48,Reg,Inside,Lvl,Gtl,NridgHt,9,5,5,3,5,4,1666,5,1,1666,4,1,4,575,3,3,228,0,2006,310090,0,6,75,4,45,15,20,9
10083,67,Reg,Inside,Lvl,Gtl,SawyerW,7,5,4,3,4,3,1176,5,1,1200,4,0,0,555,3,3,0,0,2009,184900,6,6,41,3,35,12,12,9
13300,70,Reg,Inside,Lvl,Gtl,NAmes,5,7,3,3,4,3,928,3,1,928,3,0,0,252,3,3,261,0,2007,132000,7,4,156,2,35,9,12,9
9600,80,Reg,Inside,Lvl,Gtl,NWAmes,5,5,3,3,4,3,1288,3,1,1336,3,1,2,502,3,3,312,0,2009,163000,40,7,11,3,25,9,12,9
3215,30,Reg,Inside,Lvl,Gtl,Somerst,7,5,4,3,4,3,600,5,1,1200,4,0,0,480,3,3,0,0,2010,155000,6,6,172,4,35,12,12,9
11104,69,IR1,Inside,Lvl,Gtl,NWAmes,6,6,3,3,3,3,1427,4,1,1427,3,0,0,516,3,3,0,0,2008,183000,39,8,216,3,36,9,9,9
15295,69,IR3,Corner,Lvl,Gtl,CollgCr,7,5,4,3,4,3,860,5,1,1992,4,2,3,608,3,3,225,0,2007,211000,5,8,32,3,35,12,12,9
9109,70,Reg,Inside,Lvl,Gtl,SawyerW,7,5,4,3,4,3,754,5,1,1540,4,0,0,495,3,3,140,0,2009,184000,15,8,32,3,35,12,12,9
7018,64,Reg,Inside,Bnk,Gtl,SawyerW,5,5,3,3,0,0,0,3,1,1535,3,0,0,400,3,3,0,0,2009,118858,30,8,0,3,25,9,0,9
14112,69,IR1,Corner,Lvl,Gtl,NAmes,5,7,3,3,3,3,1152,3,1,1152,3,1,4,484,3,3,227,0,2010,180500,46,6,0,2,35,9,9,9
3523,80,IR1,Inside,Lvl,Gtl,Somerst,8,5,4,3,4,3,1141,5,1,1151,4,0,0,484,3,3,0,0,2007,166000,0,6,60,4,40,12,12,9
15312,88,Reg,Inside,Lvl,Gtl,Sawyer,6,5,3,3,3,3,1138,5,1,1138,3,1,3,480,3,3,0,0,2009,148000,49,6,140,1,30,9,9,9
7450,74,IR1,Inside,Lvl,Gtl,NAmes,5,5,3,3,3,3,894,4,1,1074,4,1,4,396,3,3,0,0,2007,124000,51,4,72,2,25,9,9,9
7313,60,Reg,Inside,Lvl,Gtl,NridgHt,9,5,5,3,5,3,1561,5,1,1561,5,1,4,556,3,3,203,0,2007,277500,2,6,47,4,45,15,15,9
10019,83,IR1,Inside,Lvl,Gtl,NoRidge,8,5,4,3,4,3,1342,5,1,2726,4,1,5,725,3,3,307,0,2006,350000,11,8,337,4,40,12,12,9
15401,53,IR1,CulDSac,HLS,Gtl,StoneBr,9,5,5,3,5,3,1884,5,1,1884,5,1,4,670,3,3,214,0,2008,387000,4,6,76,4,45,15,15,9
9098,58,IR1,Inside,Lvl,Gtl,Edwards,4,7,3,3,3,3,528,5,1,605,3,0,0,0,0,0,0,0,2007,86000,5,5,144,1,28,9,9,0
16280,103,Reg,Inside,Lvl,Gtl,Veenker,8,9,5,5,4,5,1426,5,1,1671,5,1,4,550,3,3,280,0,2008,290000,1,8,90,4,72,25,20,9
9392,72,Reg,Corner,Lvl,Gtl,IDOTRR,3,3,3,2,2,3,245,3,0,797,3,0,0,0,0,0,0,0,2009,44000,59,4,130,1,9,6,6,0
12209,71,IR1,CulDSac,Lvl,Gtl,Mitchel,6,5,3,3,5,3,804,5,1,1961,4,1,3,560,3,3,125,0,2009,215000,7,8,192,2,30,9,15,9
13110,79,IR1,Corner,Lvl,Gtl,NWAmes,5,6,3,3,4,3,1153,5,1,1193,3,0,0,501,3,3,140,0,2006,146500,34,6,153,3,30,9,12,9
2651,69,Reg,FR2,Lvl,Gtl,Somerst,7,5,4,3,4,3,673,5,1,1382,4,0,0,490,3,3,153,0,2006,165000,6,8,50,4,35,12,12,9
8520,60,Reg,Inside,Lvl,Gtl,OldTown,6,7,3,4,3,3,714,3,0,2526,4,1,4,216,3,3,88,0,2007,136000,57,8,15,2,42,12,9,9
39384,69,IR1,CulDSac,Low,Sev,NAmes,6,6,3,3,4,3,1705,5,1,1390,5,2,4,550,3,3,0,0,2006,252000,49,5,189,2,36,9,12,9
2628,36,Reg,Inside,Lvl,Gtl,NridgHt,7,5,4,3,4,3,764,5,1,1626,4,0,0,474,3,3,0,0,2010,175500,7,6,27,4,35,12,12,9
6406,57,Reg,Inside,Lvl,Gtl,OldTown,5,6,3,3,3,3,690,3,1,1558,3,1,4,400,3,3,0,0,2009,150000,59,6,218,2,30,9,9,9
12342,69,IR1,Inside,Lvl,Gtl,NAmes,5,5,3,3,3,3,978,3,1,1422,3,1,3,286,3,3,0,0,2007,139900,29,5,36,2,25,9,9,9
6240,52,Reg,Inside,Lvl,Gtl,BrkSide,5,7,3,3,3,3,1078,3,1,1573,3,1,4,360,3,3,0,0,2008,162900,16,6,0,2,35,9,9,9
10000,87,IR1,Corner,Lvl,Gtl,NAmes,6,6,3,3,3,3,1116,3,1,1116,3,0,0,440,3,3,0,0,2010,160000,48,6,385,2,36,9,9,9
9000,69,Reg,Corner,Lvl,Gtl,Sawyer,2,2,3,3,0,0,0,2,0,660,2,0,0,0,0,0,0,0,2009,63900,59,4,100,1,4,9,0,0
11088,80,Reg,Inside,Lvl,Gtl,NWAmes,6,5,3,3,3,3,1140,4,1,1707,3,1,3,479,3,3,0,0,2009,184000,11,6,0,3,30,9,9,9
17755,134,Reg,Inside,Lvl,Gtl,Edwards,5,4,3,3,3,3,1466,3,1,1466,2,2,4,528,3,3,0,0,2006,149900,47,6,240,1,20,9,9,9
4765,69,IR1,Inside,Lvl,Gtl,Somerst,9,5,4,3,4,3,1614,5,1,1638,5,1,3,495,3,3,230,0,2008,300000,8,6,68,4,45,12,12,9
10532,69,Reg,Corner,Lvl,Gtl,ClearCr,5,3,3,3,3,3,988,4,1,1721,3,2,3,626,3,3,50,0,2008,145000,48,7,84,1,15,9,9,9
15426,65,IR1,Inside,Lvl,Gtl,CollgCr,6,5,3,3,4,3,928,5,1,1764,4,0,0,470,3,3,276,0,2009,231500,12,8,99,3,30,9,12,9
13907,63,Reg,Inside,Lvl,Gtl,Edwards,5,6,3,3,3,3,996,5,1,996,3,1,4,0,0,0,144,0,2008,108000,39,6,0,1,30,9,9,0
8750,70,Reg,Inside,Lvl,Gtl,NAmes,5,5,3,3,3,3,1202,3,1,1202,3,0,0,304,3,3,0,0,2009,120000,53,6,155,2,25,9,9,9
9945,69,IR1,Inside,Lvl,Gtl,Sawyer,5,5,3,3,3,3,988,3,1,988,3,0,0,572,3,3,0,0,2007,128500,46,6,0,1,25,9,9,9
8960,56,Reg,Inside,Lvl,Gtl,OldTown,5,6,3,3,3,3,1008,4,1,1028,3,1,4,360,3,3,0,0,2010,115000,60,4,130,2,30,9,9,9
3500,50,Reg,Inside,Lvl,Gtl,OldTown,5,7,3,3,3,3,720,3,1,1284,3,0,0,240,3,3,0,0,2009,110000,59,5,35,2,35,9,9,9
24572,69,IR1,CulDSac,Lvl,Gtl,Veenker,9,3,4,4,4,3,994,3,1,2944,4,1,4,864,3,3,140,0,2008,150000,31,8,86,4,27,16,12,9
9056,74,IR1,Inside,Lvl,Gtl,Gilbert,8,5,4,3,5,4,707,5,1,1414,4,1,4,403,3,3,100,0,2006,178000,2,7,35,2,40,12,20,9
12320,70,IR1,Inside,HLS,Gtl,Crawfor,7,7,3,3,3,3,637,5,1,1609,4,2,4,579,3,3,0,0,2006,199500,16,6,104,3,49,9,9,9
8238,60,IR1,Inside,Lvl,Gtl,Gilbert,6,5,3,3,3,3,813,5,1,1525,3,1,3,400,3,3,421,0,2006,183500,8,8,72,2,30,9,9,9
6000,75,Reg,Inside,Lvl,Gtl,IDOTRR,5,5,2,3,4,3,624,5,1,1656,3,1,1,288,3,3,0,0,2008,126000,41,6,280,1,25,6,12,9
2529,24,Reg,Inside,Lvl,Gtl,NPkVill,7,6,3,3,4,3,1055,2,1,1055,3,0,0,440,3,3,0,0,2008,148500,31,5,38,2,42,9,12,9
10800,60,Reg,Inside,Lvl,Gtl,OldTown,5,7,3,4,3,3,676,5,1,1352,4,0,0,720,3,3,187,0,2009,149000,3,8,128,2,35,12,9,9
2349,24,Reg,Inside,Lvl,Gtl,NPkVill,6,5,3,3,4,3,855,3,1,1456,3,1,3,440,3,3,0,0,2009,137900,32,7,28,2,30,9,12,9
10846,32,IR1,CulDSac,Lvl,Gtl,Veenker,8,5,4,3,4,3,1719,5,1,1719,4,2,4,473,3,3,122,0,2008,324000,15,6,30,4,40,12,12,9
5604,67,Reg,Inside,Lvl,Gtl,Edwards,5,6,3,3,3,3,864,3,0,864,3,0,0,0,0,0,0,0,2008,98000,58,5,96,1,30,9,9,0
1680,21,Reg,Inside,Lvl,Gtl,BrDale,6,5,3,3,3,3,483,3,1,987,3,0,0,264,3,3,52,0,2008,103400,35,6,0,1,30,9,9,9
6342,54,Reg,Inside,Lvl,Gtl,Sawyer,5,8,3,4,3,3,780,4,0,1020,3,0,0,0,0,0,0,0,2010,94000,14,4,176,1,40,12,9,0
4590,34,Reg,Inside,Lvl,Gtl,NridgHt,8,5,4,3,4,4,1554,5,1,1554,4,1,4,627,3,3,156,0,2007,209500,1,5,73,4,40,12,16,9
18062,60,IR1,CulDSac,HLS,Gtl,StoneBr,10,5,5,3,5,3,1528,5,1,3390,5,1,5,758,3,3,204,0,2006,545224,0,10,34,4,50,15,15,9
12900,60,Reg,Inside,Lvl,Gtl,OldTown,6,8,4,4,3,3,780,5,1,1560,4,0,0,0,0,0,344,0,2010,159900,1,6,168,2,48,16,9,0
19138,140,Reg,Corner,Lvl,Gtl,Gilbert,4,5,3,3,3,3,864,5,1,864,3,0,0,400,3,3,0,0,2010,141000,59,4,0,2,20,9,9,9
8658,69,IR1,Inside,Lvl,Gtl,Gilbert,6,5,3,3,4,3,982,5,1,1889,3,1,3,431,3,3,0,0,2006,215000,6,7,0,2,30,9,12,9
6897,69,IR1,Corner,Lvl,Gtl,Sawyer,5,8,3,4,3,3,1040,5,1,1040,3,0,0,260,3,3,0,0,2010,127000,0,7,104,1,40,12,9,9
9525,75,Reg,Inside,Lvl,Gtl,Edwards,5,7,3,3,3,3,1172,3,1,1172,3,0,0,366,3,3,240,0,2010,128000,12,6,0,1,35,9,9,9
12853,57,IR1,Inside,Lvl,Gtl,Somerst,8,5,4,3,5,1,1642,5,1,1418,4,1,4,852,3,3,160,0,2010,267916,0,5,416,4,40,12,5,9
6240,52,Reg,Inside,Lvl,Gtl,BrkSide,6,6,3,3,3,2,884,3,1,1367,3,1,4,560,3,3,0,0,2007,127500,57,5,120,2,36,9,6,9
7301,64,Reg,Corner,Lvl,Gtl,Edwards,7,5,4,3,0,0,0,5,1,1922,4,1,5,672,3,3,0,0,2009,198500,6,8,177,1,35,12,0,9
12090,78,IR1,Inside,Lvl,Gtl,NWAmes,6,6,3,4,4,3,1422,3,1,1422,4,1,3,576,3,3,276,0,2008,175500,27,6,0,3,36,12,12,9
8826,69,Reg,Inside,Lvl,Gtl,CollgCr,7,5,4,3,4,3,985,5,1,1842,4,1,3,486,3,3,193,0,2007,217500,7,8,96,3,35,12,12,9
8094,57,Reg,Inside,Lvl,Gtl,OldTown,4,5,3,2,3,3,888,5,1,1962,3,1,3,572,3,3,160,0,2010,149500,60,7,364,2,20,6,9,9
10710,69,Reg,Inside,Lvl,Gtl,NAmes,5,7,4,3,3,3,864,5,1,1120,3,1,3,656,3,3,0,0,2009,148800,5,6,162,2,35,12,9,9
16056,85,IR1,Inside,Lvl,Gtl,StoneBr,9,5,4,3,5,3,1992,5,1,2868,5,1,4,716,3,3,214,0,2006,556581,0,9,108,4,45,12,15,9
8400,70,Reg,Inside,Lvl,Gtl,NAmes,6,3,3,3,3,3,1478,4,1,1478,3,2,4,442,3,3,114,0,2009,156500,52,7,216,2,18,9,9,9
